sprint_id,sprint_name,state,start_date,end_date,complete_date,activated_date
5140.0,GSSP_6.4 Sprint- 3-31 Aug,closed,2016-08-03T08:17:20.067Z,2016-08-31T12:17:00.000Z,2016-09-06T21:40:41.465Z,2016-08-03T08:17:20.067Z
5408.0,November Sprint,closed,2016-11-03T23:46:23.504Z,2016-12-02T00:46:00.000Z,2016-11-30T13:29:23.663Z,2016-11-03T23:46:23.504Z
5504.0,December Sprint,closed,2016-12-01T13:10:38.253Z,2016-12-29T13:10:00.000Z,2017-01-02T09:17:34.512Z,2016-12-01T13:10:38.253Z
6024.0,May 2017 Sprint,closed,2017-05-04T20:52:59.038Z,2017-05-29T20:52:00.000Z,2017-06-07T11:15:40.285Z,2017-05-04T20:52:59.038Z
6126.0,2017 Week 22-23,closed,2017-05-29T04:00:00.000Z,2017-06-12T03:59:00.000Z,2017-06-12T13:25:18.855Z,2017-05-29T04:00:00.000Z
6146.0,2017 Week 24-25,closed,2017-06-12T04:00:33.126Z,2017-06-26T04:00:00.000Z,2017-06-26T13:01:39.805Z,2017-06-12T04:00:33.126Z
6180.0,2017 Week 26-27,closed,2017-06-26T04:00:07.977Z,2017-07-10T03:59:00.000Z,2017-07-10T10:51:47.670Z,2017-06-26T04:00:07.977Z
6257.0,2017 Week 28-29,closed,2017-07-10T04:00:51.593Z,2017-07-24T03:59:00.000Z,2017-07-24T14:14:53.762Z,2017-07-10T04:00:51.593Z
6287.0,2017 Week 30-31,closed,2017-07-24T14:15:22.615Z,2017-08-07T14:14:00.000Z,2017-08-07T14:21:24.617Z,2017-07-24T14:15:22.615Z
6363.0,2017 Week 32-33,closed,2017-08-07T04:00:02.805Z,2017-08-21T04:00:00.000Z,2017-08-21T12:57:15.453Z,2017-08-07T04:00:02.805Z
6365.0,2017 Week 34-35,closed,2017-08-21T04:00:39.384Z,2017-09-04T04:00:00.000Z,2017-09-06T12:59:55.407Z,2017-08-21T04:00:39.384Z
6377.0,2017 Week 36-37,closed,2017-09-04T04:00:42.786Z,2017-09-18T04:00:00.000Z,2017-09-20T14:37:52.046Z,2017-09-04T04:00:42.786Z
6627.0,October Sprint1,closed,2017-10-04T11:13:30.987Z,2017-10-17T11:13:00.000Z,2017-10-17T11:53:14.861Z,2017-10-04T11:13:30.987Z
6633.0,October Sprint-2,closed,2017-10-17T11:54:29.547Z,2017-10-30T11:54:00.000Z,2017-11-01T10:42:10.728Z,2017-10-17T11:54:29.547Z
6531.0,2017 Week 38-39,closed,2017-09-18T04:00:00.000Z,2017-10-02T03:59:00.000Z,2017-10-02T14:50:42.137Z,2017-09-18T04:00:00.000Z
6619.0,2017 Week 40-41-42,closed,2017-10-02T04:00:43.322Z,2017-10-23T03:59:00.000Z,2017-10-23T13:28:23.143Z,2017-10-02T04:00:43.322Z
6621.0,2017 Week 43-44,closed,2017-10-23T04:00:16.529Z,2017-11-06T05:00:00.000Z,2017-11-06T15:09:30.371Z,2017-10-23T04:00:16.529Z
6623.0,2017 Week 45-46,closed,2017-11-06T05:01:10.368Z,2017-11-20T05:01:00.000Z,2017-11-20T14:28:45.132Z,2017-11-06T05:01:10.368Z
6647.0,UX Sprint - Oct 2017,closed,2017-10-09T20:27:49.674Z,2017-10-31T20:26:00.000Z,2017-11-02T18:38:36.193Z,2017-10-09T20:27:49.674Z
6751.0,2017 Week 47-48,closed,2017-11-20T05:01:04.908Z,2017-12-04T05:01:00.000Z,2017-12-04T14:50:13.701Z,2017-11-20T05:01:04.908Z
6799.0,2017 Week 49-50,closed,2017-12-04T05:00:45.023Z,2017-12-18T05:00:00.000Z,2017-12-18T15:42:58.551Z,2017-12-04T05:00:45.023Z
6865.0,2017 Week 51-52,closed,2017-12-18T05:01:17.742Z,2018-01-01T05:01:00.000Z,2018-01-02T13:02:15.243Z,2017-12-18T05:01:17.742Z
6895.0,2018 Week 01-02,closed,2018-01-01T05:01:40.479Z,2018-01-15T05:01:00.000Z,2018-01-15T13:34:31.426Z,2018-01-01T05:01:40.479Z
